Additive or Multiplicative attributes?,Multiplicative,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high percentile cut-offs for attribute scoring,1.0/3.0,2.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Number of attributes,12,,,,,,,,,,,,,,,,,,,,,,,,,,
Low and high thresholds,1.0/3.0,1.0/3.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fishery,Stock,Management Strategy,Areal Overlap,Geographic Concentration,Vertical Overlap,Fishing rate relative to M,Biomass of Spawners,Seasonal Migrations,Schooling-Aggregation,Morphology Affecting Capture,Post Release Mortality,Value of the Fishery,Fishery Impact to EFH,,,Management Strategy weights,Areal Overlap weights,Geographic Concentration weights,Vertical Overlap weights,Fishing rate relative to M weights,Biomass of Spawners weights,Seasonal Migrations weights,Schooling-Aggregation weights,Morphology Affecting Capture weights,Post Release Mortality weights,Value of the Fishery weights,Fishery Impact to EFH weights
,Shortfin mako,2,2,1,3,2,2,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Blue shark,2,2,1,3,1,1,2,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Common thresher,2,3,1,3,,,,,3,2,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Porbeagle,2,2,2,3,1,3,,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Oceanic whitetip,2,2,1,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bigeye thresher,1,3,2,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Longfin mako,1,3,1,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sixgill shark,1,3,1,1,,,,,1,1,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sharpnose sevengill shark,1,3,1,1,,,,,1,,1,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sandbar shark,1,3,1,3,2,2,3,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Blacktip shark,2,3,1,3,2,1,3,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Spinner shark,2,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Silky shark,2,3,3,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bull shark,2,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Tiger shark,2,2,2,3,,,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Nurse shark,2,2,1,2,,,,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Lemon shark,2,2,1,2,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Scalloped hammerhead,2,3,1,3,2,1,,3,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
Atlantic Shark Complexes,Great hammerhead,2,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Smooth hammerhead,2,1,2,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Dusky shark,1,3,1,3,1,1,,,3,2,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Caribbean reef shark,1,1,3,3,,,,3,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Night shark,1,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bignose shark,1,3,1,3,,,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Galapagos shark,1,1,1,3,,,,,3,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Sandtiger shark,1,3,1,2,,,,3,1,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bigeye sandtiger shark,1,1,3,1,,,,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,White shark,1,1,1,2,,,,,3,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Basking shark,1,1,1,3,,,,,3,1,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Whale shark,1,1,1,3,,,,,1,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Atlantic sharpnose shark,2,3,1,3,3,3,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Bonnethead shark,2,3,1,3,2,3,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Blacknose shark,2,3,1,3,1,1,,,3,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Finetooth shark,2,3,1,3,3,3,,,1,3,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Angel shark,1,3,1,1,,,,1,,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Smalltail shark,1,1,3,3,,,,,1,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,Caribbean sharpnose shark,1,1,1,3,,,,,1,,3,1,,,2,4,2,4,3,3,2,2,3,4,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alaska skate,1,1,3,1,3,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Aleutian skate,1,1,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Commander skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Whiteblotched skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Whitebrow skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Roughtail skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
BS/AI Skate Complex,Bering skate,1,1,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Mud skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Roughshoulder skate,1,,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Big skate,1,1,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Longnose skate,1,,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Butterfly skate,1,1,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Deepsea skate,1,3,1,1,2,3,,,1,2,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,California sheephead,2,3,1,3,2,3,2,3,3,1,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Cabezon,1,3,3,3,2,2,2,3,3,1,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Kelp greenling,1,3,3,3,1,1,2,2,3,1,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Rock greenling,2,3,3,3,1,1,2,2,3,1,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,California scorpionfish,1,3,3,3,1,1,2,2,2,1,1.5,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Monkyface prickelback,2,3,3,3,2,1,2,1,3,1,1.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Black rockfish,1,3,3,3,2,1,2,3,3,2,1,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Black-and-yellow rockfish,2,3,3,3,1,1,2,3,3,2,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Blue rockfish,1,3,3,3,2,2,2,3,3,2.5,1,2,,,2,2,2,2,2,2,2,2,2,2,2,2
California Nearshore Groundifsh,Brown rockfish,2,3,3,3,2,1,2,3,3,2,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Calico rockfish,2,3,3,3,1,1,2,2,1,3,1,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,China rockfish,2,3,3,3,2,1,2,3,3,2.5,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Copper rockfish,2,3,3,3,2,1,2,3,3,2.5,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Gopher rockfish,1,3,3,3,1,1,2,3,3,2,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Grass rockfish,2,3,3,3,2,1,2,1,3,1,3,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Kelp rockfish,2,3,3,3,1,1,2,1,2,1.5,2.5,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Olive rockfish,2,3,3,3,2,1,2,3,3,2,1,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Quillback rockfish,2,3,3,3,2,1,2,3,3,2.5,2,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,Treefish rockfish,2,3,3,3,1,1,2,3,3,2,3,2,,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pacific sardine,1,,2,3,1.5,2,2,3,3,3,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Northern Anchovy,2,,2,3,1,2,2,3,3,3,1,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pacific mackerel,1,,2,3,2,2,2,3,3,3,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Jack mackerel,2,,2,2,1,1,2,3,3,3,1,1,,,2,2,2,2,2,2,2,2,2,2,2,2
Coastal Pelagics,Market squid,2,,2,3,2.5,2,3,3,3,2,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pacific herring,2,,2,3,2.5,3,3,3,3,3,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pacific bonito,2,,2,3,2,2,1,3,3,3,2,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pacific saury,2,,2,2,1,2,2,3,2,3,1,1,,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,1,1,1,2,3,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye Tuna,1,1,1,2,3,2,,2,3,3,3,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Black Marlin,1,1,1,2,,,,2,2,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bullet Tuna,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pacific Pomfret,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Shark,1,1,1,3,3,1,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye thresher shark,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Marlin,1,1,1,2,2,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dolphin Fish,1,1,1,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Brilliant Pomfret,2,1,3,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Kawakawa,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
Hawaii Longline Fishery - Swordfish Sector,Spotted Moonfish,1,1,1,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Longfin Mako Shark,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Salmon Shark,2,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Striped Marlin,1,1,1,2,3,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oilfish,2,1,1,2,,,,2,3,2,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Northern Bluefin Tuna,1,1,1,3,3,2,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Roudi Escolar,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pelagic Thresher Shark,2,1,1,1,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sailfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Skipjack Tuna,1,1,1,2,1,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Shortfinned Mako Shark,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Short Bill Spearfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Broadbill Swordfish,1,1,1,2,1,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Flatheat Pomfret,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dagger Pomfret,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sickle Pomfret,2,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Wahoo,1,1,1,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Yellowfin Tuna,1,1,1,2,2,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oceanic Whitetip Shark,1,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Silky Shark,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Common Thresher Shark,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Escolar,2,1,1,2,,,,2,3,2,1.5,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Albacore,1,1,1,3,3,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye Tuna,1,1,1,2,3,2,,2,3,3,3,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Black Marlin,1,1,1,3,,,,2,2,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bullet Tuna,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pacific Pomfret,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Shark,1,1,1,3,3,1,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Bigeye thresher shark,2,1,1,2,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Blue Marlin,1,1,1,3,2,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dolphin Fish,1,1,1,2,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Brilliant Pomfret,2,1,3,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Kawakawa,2,1,1,2,,,,2,1,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Spotted Moonfish,1,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Longfin Mako Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Salmon Shark,2,1,1,2,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Striped Marlin,1,1,1,3,3,,,2,3,1,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oilfish,2,1,1,1,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
Hawaii Longline Fishery - Tuna Sector,Northern Bluefin Tuna,1,1,1,2,3,2,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Roudi Escolar,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Pelagic Thresher Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sailfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Skipjack Tuna,1,1,1,3,1,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Shortfinned Mako Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Short Bill Spearfish,1,1,1,2,,,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Broadbill Swordfish,1,1,1,1,1,1,,2,3,3,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Flatheat Pomfret,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Dagger Pomfret,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Sickle Pomfret,2,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Wahoo,1,1,1,3,,,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Yellowfin Tuna,1,1,1,3,2,1,,2,3,3,2,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Oceanic Whitetip Shark,1,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Silky Shark,2,1,1,3,,,,2,3,1,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Common Thresher Shark,2,1,1,3,,,,2,3,2,1,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,Escolar,2,1,1,2,,,,2,3,2.5,1.5,1,,,1,2,1,3,1,1,0,2,1,3,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GM Cod,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GB Cod,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM Haddock,2,3,2,3,2,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
NE Groundfish,GB Haddock,2,3,2,3,2,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Redfish,2,3,2,3,2,1.5,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Pollock,2,3,2,3,2,2,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,CC-GM Yellowtail Flounder,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GB Yellowtail Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE Yellowtail Flounder,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,American Plaice,2,3,2,3,2,1,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Witch Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM Winter Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
NE Groundfish,GB Winter Flounder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE-MidA winter Flouder,2,3,2,3,3,2,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,GM-GB Windowpane,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,SNE-MA Windowpane,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Ocean Pout,2,3,2,3,2,2,2,2,2,3,1,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,White Hake,2,3,2,3,3,2,2,2,2,3,2,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,Halibut,2,3,2,3,3,3,2,2,2,3,3,3,,,2,2,2,2,2,2,2,2,2,2,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sand Tilefish,3,1,1,1,,,,2,2,2.5,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
SA/GOM Snapper-Grouper Bottom Longline,Bar Jack,3,1,1,1,,,,2,1.5,2.5,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
,Rock Sea Bass,3,1,1,1,,,,2,2,3,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
,Margate,3,1,1,2,,,,2,2,3,1,1.5,,,2,4,2,3,2,2,1,2,2,2,2,1
